area,major_axis_length,minor_axis_length,eccentricity,equiv_diameter,solidity,extent,perimeter,aspect_ratio,compactness,roundness,category
1096,73.74343032,19.115679,0.96581864,37.35599739,0.962247586,0.455717256,153.47,3.857745797,0.506567124,0.584754311,Whole Rice
1138,71.50938721,20.63595977,0.957456711,38.06503122,0.958719461,0.514932127,151.187,3.465280414,0.532308172,0.625638156,Whole Rice
1183,73.0723353,21.08902093,0.957448336,38.81033859,0.972062449,0.857246377,152.104,3.464946787,0.531122188,0.642559484,Whole Rice
1129,67.13464508,21.86167073,0.945494117,37.91421166,0.964133219,0.468853821,146.268,3.070883552,0.564748821,0.6631399,Whole Rice
1132,68.83899402,21.32645577,0.950801105,37.96455142,0.965870307,0.530210773,146.68,3.227868463,0.551497766,0.661172053,Whole Rice
1176,69.3307658,22.05936362,0.94803177,38.69534474,0.962356792,0.623872679,150.608,3.142917765,0.558126602,0.651510026,Whole Rice
1177,68.70148945,22.35963775,0.945555554,38.71179335,0.967927632,0.462657233,148.676,3.072567195,0.563478225,0.669120892,Whole Rice
1142,69.64421082,21.482592,0.951236668,38.13187066,0.958053691,0.526267281,148.648,3.241890495,0.547523911,0.649468104,Whole Rice
1189,74.00172314,20.86656381,0.959422039,38.90863424,0.966666667,0.433309038,155.317,3.546425938,0.525780111,0.619375086,Whole Rice
1185,72.53534406,21.09397724,0.956780933,38.84313145,0.968137255,0.462529274,152.85,3.438675563,0.535506269,0.63737838,Whole Rice
1108,68.56213262,21.39162051,0.950080976,37.5599443,0.942176871,0.518969555,146.407,3.205092976,0.547823454,0.649569973,Whole Rice
1154,71.77068538,21.04482264,0.956044045,38.33168969,0.957676349,0.507252747,151.03,3.410372546,0.534085602,0.635754186,Whole Rice
1128,72.88321065,20.05408084,0.961400267,37.89741688,0.964102564,0.420268256,153.042,3.634333143,0.519974581,0.605198299,Whole Rice
1179,69.76038576,21.85119321,0.949676599,38.74466961,0.961663948,0.604615385,149.69,3.19252066,0.555396436,0.661207989,Whole Rice
1120,67.86135566,21.74389343,0.947276787,37.76278976,0.949152542,0.43956044,146.567,3.120938569,0.556469723,0.655172242,Whole Rice
1146,73.14844121,20.39321053,0.960351468,38.19859315,0.956594324,0.615136876,154.503,3.586901685,0.522206523,0.60328239,Whole Rice
1153,68.7893028,21.70451768,0.948918362,38.31507791,0.964046823,0.771237458,146.745,3.169354133,0.556991805,0.672841153,Whole Rice
1190,73.69098489,21.13195961,0.958001103,38.92499272,0.955823293,0.415793152,155.822,3.487181798,0.528219195,0.615884504,Whole Rice
1132,67.40671418,21.69609069,0.94678442,37.96455142,0.952861953,0.7075,145.282,3.106859902,0.56321617,0.673957749,Whole Rice
915,59.45778394,19.8531489,0.942607342,34.1323041,0.960125918,0.617408907,129.213,2.994879262,0.574059473,0.688681693,Whole Rice
1154,64.57198848,23.19619374,0.93324907,38.33168969,0.957676349,0.558837772,141.66,2.783732072,0.593627215,0.72263867,Whole Rice
1139,72.39362105,20.27566324,0.959978042,38.08175208,0.960370995,0.774829932,152.708,3.570468705,0.526037398,0.613776151,Whole Rice
1082,67.75537889,20.81953054,0.951620779,37.116643,0.958370239,0.805059524,143.28,3.254414348,0.547803637,0.662317117,Whole Rice
1115,73.64773583,19.67438071,0.963657261,37.67840353,0.965367965,0.392329346,154.92,3.743331845,0.511603013,0.583807614,Whole Rice
1109,71.02178719,20.35350251,0.958055984,37.57688991,0.9470538,0.679534314,150.434,3.489413538,0.529089613,0.615813781,Whole Rice
1238,73.02685266,21.86232089,0.95413593,39.70227394,0.970980392,0.424554184,156.12,3.340306503,0.543666781,0.638283214,Whole Rice
1147,70.01480079,21.1829963,0.953133432,38.21525556,0.961441744,0.466260163,148.997,3.305235945,0.545816815,0.649259381,Whole Rice
1189,69.66873499,22.25394065,0.947611536,38.90863424,0.96431468,0.464090554,150.626,3.130624642,0.558480562,0.658554668,Whole Rice
1254,69.82244023,23.48730107,0.941724145,39.95800782,0.95,0.603755416,153.354,2.972774097,0.572280311,0.670065386,Whole Rice
1111,70.07892257,20.63315584,0.955673845,37.61075822,0.977132806,0.427801309,148.329,3.39642288,0.536691445,0.634558674,Whole Rice
1158,71.75837428,21.09799924,0.955800973,38.39806496,0.956234517,0.443678161,151.809,3.40119333,0.535102214,0.631427343,Whole Rice
1200,70.70387303,22.05301023,0.950112743,39.08820095,0.957701516,0.446428571,151.81,3.206087165,0.552843844,0.654320233,Whole Rice
1239,72.96141205,21.97546127,0.953563223,39.71830555,0.95234435,0.4425,156.384,3.320131084,0.544374135,0.636643832,Whole Rice
1145,67.93290883,22.08803764,0.945664214,38.18192345,0.95735786,0.626710454,147.134,3.075552022,0.562053416,0.664644273,Whole Rice
1212,73.57103003,21.4814255,0.956423776,39.28315578,0.970376301,0.478106509,156.009,3.424867219,0.533948699,0.625767751,Whole Rice
1128,69.81271619,20.95008204,0.953910965,37.89741688,0.971576227,0.433846154,149.263,3.332336172,0.54284404,0.636230715,Whole Rice
1105,71.46410024,19.93376348,0.96031029,37.50906153,0.95340811,0.65,151.013,3.585078168,0.524865791,0.608896491,Whole Rice
1101,68.89610281,20.69774728,0.953807107,37.44111028,0.960732984,0.834090909,148.333,3.328676396,0.543443079,0.62881316,Whole Rice
1169,68.83795371,22.08800088,0.94712341,38.58000814,0.958196721,0.770092227,148.052,3.116531645,0.56044676,0.67018672,Whole Rice
