area,major_axis_length,minor_axis_length,eccentricity,equiv_diameter,solidity,extent,perimeter,aspect_ratio,compactness,roundness,category
447,28.99310387,20.12563827,0.719827879,23.85661494,0.97173913,0.840225564,76.234,1.440605435,0.822837563,0.966540311,Small Broke C1
440,27.77892517,20.82330742,0.661881931,23.66908109,0.977777778,0.679012346,75.582,1.334030402,0.852051724,0.967889506,Small Broke C1
409,24.63635717,21.67212227,0.47556521,22.82005639,0.962352941,0.711304348,71.752,1.136776401,0.926275595,0.998309376,Small Broke C1
374,27.77501207,17.48255387,0.777053455,21.82181454,0.968911917,0.785714286,70.561,1.588727384,0.785663548,0.943956567,Small Broke C1
428,28.91964278,19.33822667,0.743542845,23.34408973,0.974943052,0.636904762,74.772,1.495465085,0.807205328,0.962001255,Small Broke C1
437,28.30105193,20.10943958,0.703642177,23.58825303,0.979820628,0.743197279,75.11,1.407351598,0.833476193,0.973409941,Small Broke C1
441,28.74359204,19.81768868,0.724319398,23.69596251,0.962882096,0.7875,75.151,1.450400827,0.824391137,0.981248319,Small Broke C1
402,28.39433619,18.26514,0.765641915,22.62393195,0.968674699,0.755639098,71.446,1.554564389,0.796776223,0.989646467,Small Broke C1
396,25.38138782,20.47549563,0.590943422,22.45446191,0.961165049,0.717391304,71.074,1.239598214,0.884682196,0.985107292,Small Broke C1
406,28.85572531,18.22265834,0.775368318,22.73621022,0.980676329,0.678929766,72.58,1.583508003,0.787927178,0.968505229,Small Broke C1
437,27.14922958,20.77222431,0.643896213,23.58825303,0.988687783,0.735690236,73.316,1.306996746,0.868836921,1.021630326,Small Broke C1
450,28.51481834,20.56841278,0.692598149,23.93653682,0.974025974,0.757575758,75.738,1.386340242,0.839442024,0.98581339,Small Broke C1
444,30.46248044,18.76218733,0.78781547,23.77642441,0.948717949,0.729064039,77.235,1.623610292,0.780515049,0.935329285,Small Broke C1
330,22.21570595,19.51277898,0.478050026,20.49802551,0.962099125,0.683229814,64.086,1.138520862,0.922681708,1.009711896,Small Broke C1
362,25.08989737,19.06335199,0.650154639,21.46887783,0.960212202,0.71541502,67.898,1.316132513,0.855678184,0.986743946,Small Broke C1
392,28.12204298,18.22654642,0.761535562,22.3407677,0.972704715,0.653333333,71.678,1.542916707,0.794421931,0.958791496,Small Broke C1
413,28.80704576,18.633472,0.762628018,22.9313744,0.978672986,0.695286195,73.332,1.545983795,0.796033533,0.965101201,Small Broke C1
423,27.62831154,20.14450306,0.684380147,23.20733348,0.972413793,0.626666667,74.764,1.371506235,0.839983777,0.950966403,Small Broke C1
379,26.18502626,18.89847073,0.692176616,21.96719799,0.96437659,0.721904762,69.114,1.385563236,0.838922129,0.997050181,Small Broke C1
412,29.44867335,18.24484042,0.784959477,22.90359562,0.962616822,0.789272031,74.481,1.614082265,0.777746262,0.93328886,Small Broke C1
386,25.88644341,19.77172985,0.64546833,22.16913314,0.965,0.64983165,71.314,1.309265481,0.856399344,0.953778603,Small Broke C1
417,28.5763907,19.56973672,0.728710529,23.04215463,0.960829493,0.620535714,75.698,1.460233784,0.806335372,0.9144861,Small Broke C1
422,28.10136181,20.03553166,0.701190784,23.17988542,0.985981308,0.781481481,74.936,1.402576297,0.824866979,0.944368083,Small Broke C1
402,26.38695396,19.82839527,0.659793549,22.62393195,0.968674699,0.676767677,72.224,1.330765985,0.857390815,0.968440275,Small Broke C1
396,27.81786609,18.50588902,0.746618961,22.45446191,0.968215159,0.692307692,71.38,1.503189934,0.807195701,0.976679254,Small Broke C1
429,28.6175933,19.95104548,0.716915429,23.37134495,0.940789474,0.704433498,78.153,1.43439066,0.816677514,0.882624237,Small Broke C1
434,28.49317647,19.84422928,0.71759999,23.50714705,0.966592428,0.698872786,75.019,1.43584193,0.825009703,0.969074246,Small Broke C1
348,23.85660728,19.17607833,0.59489184,21.04964041,0.966666667,0.878787879,66.566,1.244081656,0.882340065,0.986925083,Small Broke C1
413,27.58249338,19.45822444,0.708754115,22.9313744,0.969483568,0.836032389,72.678,1.417523653,0.831374237,0.982548463,Small Broke C1
351,24.56073921,18.76499739,0.64518767,21.14017692,0.96961326,0.803203661,67.443,1.308859186,0.860730483,0.969713004,Small Broke C1
359,25.43313041,18.55623363,0.683864841,21.37973331,0.975543478,0.652727273,67.742,1.370597661,0.840625317,0.983078693,Small Broke C1
405,26.77767436,19.70770519,0.677008458,22.7081927,0.950704225,0.81,74.663,1.35874137,0.848027069,0.912964761,Small Broke C1
427,27.06237398,20.47764097,0.653781836,23.31680265,0.972665148,0.684294872,73.349,1.321557205,0.861594872,0.997354025,Small Broke C1
443,28.29021569,20.55503297,0.687084565,23.74963407,0.956803456,0.687888199,76.334,1.376315754,0.839499929,0.955383088,Small Broke C1
423,29.66525622,18.77753188,0.774167651,23.20733348,0.963553531,0.602564103,76.376,1.579827232,0.782306861,0.911247631,Small Broke C1
367,27.24985051,17.4609096,0.7677322,21.6166351,0.960732984,0.641608392,69.338,1.560620331,0.793275364,0.959253311,Small Broke C1
442,29.43463156,19.63133145,0.745105396,23.72281347,0.969298246,0.62962963,76.178,1.499370108,0.805949054,0.957134566,Small Broke C1
404,28.13688849,18.47250715,0.754306231,22.68014057,0.980582524,0.706293706,71.364,1.523176484,0.806064273,0.996856994,Small Broke C1
366,29.10040106,16.44056816,0.825118163,21.58716455,0.991869919,0.63986014,70.604,1.770036217,0.741816737,0.922640123,Small Broke C1
